[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\allauth\templatetags\__init__.py first seen with mtime 1716506777.8355825
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\db\backends\postgresql\features.py first seen with mtime 1716474793.698457
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\ipaddress.py first seen with mtime 1675785262.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\asyncio\trsock.py first seen with mtime 1675785262.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\allauth\account\reauthentication.py first seen with mtime 1716506776.7769084
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\dataclasses.py first seen with mtime 1686114018.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\template\loader.py first seen with mtime 1716474793.8210585
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\contrib\sites\__init__.py first seen with mtime 1716474793.411152
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\json\__init__.py first seen with mtime 1675785262.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\core\files\storage\mixins.py first seen with mtime 1716474793.6287427
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\contrib\staticfiles\finders.py first seen with mtime 1716474793.5925157
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\contrib\admin\utils.py first seen with mtime 1716474790.6306643
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\sqlparse\filters\others.py first seen with mtime 1716474789.455857
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\template\defaulttags.py first seen with mtime 1716474793.818056
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\asyncio\threads.py first seen with mtime 1675785262.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\db\backends\postgresql\base.py first seen with mtime 1716474793.6954546
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\apps\__init__.py first seen with mtime 1716474790.262498
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\contrib\sessions\apps.py first seen with mtime 1716474792.9211948
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\base64.py first seen with mtime 1675785262.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\apps\config.py first seen with mtime 1716474790.262998
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\core\servers\__init__.py first seen with mtime 1716474793.6643386
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\allauth\core\context.py first seen with mtime 1716506776.802287
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\urls\utils.py first seen with mtime 1716474793.841142
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\db\models\options.py first seen with mtime 1716474793.7306287
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\contrib\admin\decorators.py first seen with mtime 1716474790.6236243
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\DLLs\_asyncio.pyd first seen with mtime 1686114118.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\random.py first seen with mtime 1675785262.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\utils\translation\trans_real.py first seen with mtime 1716474793.868249
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\core\mail\__init__.py first seen with mtime 1716474793.6322494
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\importlib\_abc.py first seen with mtime 1675785262.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\concurrent\futures\thread.py first seen with mtime 1675785262.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\allauth\account\signals.py first seen with mtime 1716506776.7769084
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\allauth\core\exceptions.py first seen with mtime 1716506776.8027866
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\templatetags\cache.py first seen with mtime 1716474793.8306086
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\email\header.py first seen with mtime 1675785262.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\email\mime\nonmultipart.py first seen with mtime 1675785262.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\contrib\messages\storage\base.py first seen with mtime 1716474792.688962
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\db\models\fields\proxy.py first seen with mtime 1716474793.73672
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\db\models\functions\window.py first seen with mtime 1716474793.74325
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\http\request.py first seen with mtime 1716474793.8085225
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\email\mime\base.py first seen with mtime 1675785262.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\allauth\core\ratelimit.py first seen with mtime 1716506776.8032875
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\email\base64mime.py first seen with mtime 1675785262.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\db\migrations\operations\__init__.py first seen with mtime 1716474793.7205462
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\core\files\storage\base.py first seen with mtime 1716474793.6262205
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\forms\models.py first seen with mtime 1716474793.7543526
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\getpass.py first seen with mtime 1675785262.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\fnmatch.py first seen with mtime 1675785262.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\pathlib.py first seen with mtime 1686114018.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\contrib\auth\management\__init__.py first seen with mtime 1716474791.9987967
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\signal.py first seen with mtime 1675785262.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\template\backends\django.py first seen with mtime 1716474793.8245797
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\contrib\admin\templatetags\admin_list.py first seen with mtime 1716474791.0409515
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\utils\deconstruct.py first seen with mtime 1716474793.8496764
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\json\encoder.py first seen with mtime 1675785262.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\importlib\__init__.py first seen with mtime 1675785262.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\allauth\core\internal\adapter.py first seen with mtime 1716506776.8042886
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\db\backends\base\features.py first seen with mtime 1716474793.6723728
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\asyncio\sslproto.py first seen with mtime 1686114018.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\contrib\staticfiles\management\commands\__init__.py first seen with mtime 1716474793.5975213
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\core\checks\compatibility\__init__.py first seen with mtime 1716474793.617685
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\template\base.py first seen with mtime 1716474793.8160546
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\dispatch\dispatcher.py first seen with mtime 1716474793.7498243
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\sqlparse\__init__.py first seen with mtime 1716474789.4426086
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Python\Lib\email\generator.py first seen with mtime 1675785262.0
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\contrib\admin\options.py first seen with mtime 1716474790.6286628
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\db\backends\base\base.py first seen with mtime 1716474793.6698434
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\db\models\functions\comparison.py first seen with mtime 1716474793.7402222
[24/May/2024 09:48:14] DEBUG [django.utils.autoreload:394] File G:\Hackathon\StarQuiz\.venv\Lib\site-packages\django\core\files\storage\filesystem.py first seen with mtime 1716474793.6267402
